sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
वीर्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0140|BPN_0468|BPN_0927|BPN_0988,"वीर्यकृत्, कफवातकृत्, कण्डूकुष्ठहर, नेत्र्य, सुगन्ध, स्वेदगन्धनुत् || पित्तनाशन, माधुर्य, चूषित, रुच्य, बल-वीर्यकर, शीघ्रपाकि, वात-पित्तहर, सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वीसर्प,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0363|BPN_0649,"वर्ण्य, कफ-पित्तजित्, तृष्णा-दाहा-अस्र विस्फोट-विष-वीसर्पनाशन || वात-पित्त-कफ-व्रणापह, श्वित्र-वीसर्पहर, योनिसङ्कोचकारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
वृश्चिकोन्दुरुसर्पविष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0338,"कृमिनिकृन्तनी, वृश्चिकोन्दुरुसर्पविषघ्नी, व्रणरोपिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
व्यङ्ग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0093,"वर्ण्या, बल्या, कफ-पित्ता-अस्र-हिक्का-कास-ज्वरप्रणुत्, व्रणोरःक्षत-वीसर्प-कृमि-कुष्ठ-गदापहा, अलक्तक, व्यङ्गनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
व्यथा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0522,"वातल, मदकृत्, व्यथाहर, ग्राहि, कफ-पित्ता-अस्रनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
व्रण,Vrana,wound / ulcer,wound|ulcer,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0037|BPN_0056|BPN_0071|BPN_0072|BPN_0075|BPN_0077|BPN_0079|BPN_0089|BPN_0091|BPN_0093|BPN_0094|BPN_0098|BPN_0114|BPN_0144|BPN_0145|BPN_0149|BPN_0152|BPN_0158|BPN_0159|BPN_0172|BPN_0176|BPN_0182|BPN_0184|BPN_0195|BPN_0198|BPN_0231|BPN_0234|BPN_0236|BPN_0239|BPN_0245|BPN_0246|BPN_0287|BPN_0294|BPN_0303|BPN_0326|BPN_0328|BPN_0329|BPN_0333|BPN_0338|BPN_0350|BPN_0354|BPN_0355|BPN_0356|BPN_0382|BPN_0389|BPN_0395|BPN_0411|BPN_0412|BPN_0415|BPN_0416|BPN_0417|BPN_0418|BPN_0420|BPN_0423|BPN_0424|BPN_0425|BPN_0426|BPN_0427|BPN_0429|BPN_0431|BPN_0436|BPN_0437|BPN_0439|BPN_0441|BPN_0448|BPN_0449|BPN_0452|BPN_0457|BPN_0458|BPN_0480|BPN_0483|BPN_0556|BPN_0623|BPN_0640|BPN_0643|BPN_0649|BPN_0654|BPN_0706|BPN_0735|BPN_0775|BPN_1013,"पित्तकृत्, दीपनी, ज्वर-अनिल-श्लेष्म-व्रण-शूल-अक्षिरोगहृत् || बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",Context must distinguish wound and ulcer,PROVISIONAL_TEST_ONLY,
व्रणदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0098,"श्लेष्म-विष-नेत्र-विकारनुत्, रसायन, छेदन, व्रणदोषहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
व्रणोरःक्षत,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0654,"लेखनी, व्रणोरःक्षतनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शान्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0888|BPN_0889|BPN_1003,"रक्त-पित्तहर, संग्राही, वात-शान्तिकृत् || संग्राही, वात-शान्तिकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शिरःपीडा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0270,"शिरःपीडाहर, त्रिदोषाहर, दुग्धदा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शिरःशूल,Shirashula,headache / head pain,headache|head pain|pain in head|migraine-like headache,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,"Headache has many causes; this is a provisional retrieval label, not a migraine diagnosis",PROVISIONAL_TEST_ONLY,
शिरोरुग्व्रणजन्तु,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0172,"शिरोरुग्व्रणजन्तुजित्, वमिहर, वर्ज्य, व्यङ्गदोषत्रयापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शिशिरावर्ण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0198,"शिशिरावर्णकृत्, विषव्रणहरी, कण्डू-कफ-पित्ता-अस्र-कुष्ठनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शुक्रकफ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0060,"बल्य, शुक्रकफप्रद, पित्त-दाह-अस्र-कार्श्य-वात-क्षयापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शुक्रपित्तकफ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1077,"अश्मरीप्रणुत्, अहृद्य, तर्पण, केश्य, शुक्रपित्तकफप्रद",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शुक्रवलास,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0224,"शुक्रवलासकृत्, ग्राहिणी, शोथ-वात-पित्त-ज्वरा-अस्र जित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शुक्रवृद्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0986,"बल-मेधा-अग्नि-मांस-ओजः-शुक्रवृद्धिकृत्, तर्पण, रोचन, दृढताकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शुद्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0896,"कफकृत्, स्रोत, शुद्धिकर, बल्य, मांसद, वात-पित्तनुत्,",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शूल,Shula,pain / colic,ache|colicky pain,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0016|BPN_0020|BPN_0029|BPN_0037|BPN_0038|BPN_0041|BPN_0042|BPN_0043|BPN_0049|BPN_0051|BPN_0053|BPN_0055|BPN_0073|BPN_0076|BPN_0078|BPN_0084|BPN_0089|BPN_0125|BPN_0127|BPN_0128|BPN_0129|BPN_0135|BPN_0150|BPN_0159|BPN_0164|BPN_0184|BPN_0204|BPN_0214|BPN_0231|BPN_0234|BPN_0250|BPN_0266|BPN_0284|BPN_0294|BPN_0300|BPN_0307|BPN_0322|BPN_0327|BPN_0328|BPN_0372|BPN_0386|BPN_0436|BPN_0446|BPN_0511|BPN_0573|BPN_0575|BPN_0581|BPN_0601|BPN_0613|BPN_0614|BPN_0720|BPN_0783|BPN_0785|BPN_0816|BPN_0964|BPN_0969|BPN_1008|BPN_1081,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",Site must be specified,PROVISIONAL_TEST_ONLY,
शूलाप,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0601,"पित्तापह, श्लेष्महर, रोपण, लेखन, पाण्डू-उदरा-आर्शो-ज्वर-कुष्ठ-कास-श्वास-क्षय-पीनस-अम्लपित्तापह, शोथ, कृमि, शूलापकर, अल्पबृंहण",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शोणितज्वरशोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0376,"सरा, दोषत्रयहरी, शोणितज्वरशोषकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शोथ,Shotha,swelling / edema,inflammation|oedema,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0026|BPN_0071|BPN_0075|BPN_0077|BPN_0078|BPN_0084|BPN_0091|BPN_0094|BPN_0100|BPN_0104|BPN_0148|BPN_0184|BPN_0206|BPN_0221|BPN_0223|BPN_0224|BPN_0231|BPN_0233|BPN_0243|BPN_0250|BPN_0262|BPN_0263|BPN_0293|BPN_0295|BPN_0300|BPN_0304|BPN_0310|BPN_0320|BPN_0324|BPN_0325|BPN_0346|BPN_0360|BPN_0370|BPN_0386|BPN_0395|BPN_0417|BPN_0418|BPN_0420|BPN_0429|BPN_0449|BPN_0480|BPN_0601|BPN_0608|BPN_0614|BPN_0616|BPN_0618|BPN_0624|BPN_0659|BPN_0722|BPN_0770|BPN_0775|BPN_0779|BPN_0785|BPN_0791|BPN_0835|BPN_0838|BPN_1079|BPN_1093,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत्",Context determines edema versus inflammation,PROVISIONAL_TEST_ONLY,
शोथोदर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1079,"दीपन, कृमि-कुष्ठ-कफ-आनाह-शोथोदरहर, सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शोथोदरव्यथा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0262,"वातजित्, श्लेष्मघ्न, दीपनी, शोथोदरव्यथाहन्त्री, पीठविसर्पिहित",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शोथोदरा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0785,"दीपन, रेचन, आध्मान-अष्ठीलिका-गुल्म-शूल-शोथोदराहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
शोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0138|BPN_0204|BPN_0426,"शुक्रला, कफ-वात-विष-च्छर्दि-शीत-दौर्गन्ध्य-शोषहृत् || दीपनी, पाचनी, मेध्या, भेदिनी, भ्रम-शोषजित्, दोष-तृष्णा-आम-शूला-आर्श-विष-दाह-ज्वरा-पहा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
श्रम,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1025,"श्रमनाशन, क्लमहर, मूर्च्छा-पिपासापहं, तन्द्रा-च्छर्दि-विबन्ध-हृद्बलकर, निद्राहर, तर्पण, हृद्य, गुप्तरस, अजीर्णशमक, नित्यहित,  स्वच्छ, पीयूषवज्जीवन, रसकारण",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
श्लीपद,Shlipada,elephantiasis-like limb swelling,elephantiasis|lymphedema-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0014|BPN_0022,"रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा || त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर",Etiology requires confirmation,PROVISIONAL_TEST_ONLY,
श्लेष्म,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0016|BPN_0026|BPN_0118|BPN_0135|BPN_0203|BPN_0234|BPN_0261|BPN_0262|BPN_0294|BPN_0311|BPN_0558|BPN_0601|BPN_0656|BPN_0744|BPN_0756|BPN_0765|BPN_0900|BPN_0901|BPN_0915|BPN_1005,"दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक || वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
श्वास,Shvasa,dyspnea / breathing disorder,breathlessness|asthma-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0016|BPN_0019|BPN_0020|BPN_0022|BPN_0023|BPN_0025|BPN_0035|BPN_0055|BPN_0056|BPN_0074|BPN_0075|BPN_0078|BPN_0081|BPN_0084|BPN_0086|BPN_0087|BPN_0099|BPN_0100|BPN_0101|BPN_0128|BPN_0162|BPN_0163|BPN_0164|BPN_0165|BPN_0166|BPN_0182|BPN_0184|BPN_0188|BPN_0191|BPN_0206|BPN_0211|BPN_0212|BPN_0213|BPN_0214|BPN_0219|BPN_0220|BPN_0221|BPN_0237|BPN_0242|BPN_0294|BPN_0303|BPN_0320|BPN_0328|BPN_0346|BPN_0372|BPN_0456|BPN_0457|BPN_0562|BPN_0571|BPN_0572|BPN_0581|BPN_0601|BPN_0613|BPN_0624|BPN_0645|BPN_0706|BPN_0720|BPN_0734|BPN_0769|BPN_0775|BPN_0780|BPN_0784|BPN_0810|BPN_0816|BPN_0823|BPN_0825|BPN_0831|BPN_0851|BPN_0865|BPN_0869|BPN_0871|BPN_0957|BPN_0964|BPN_0989|BPN_1103,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",Not identical to asthma in every context,PROVISIONAL_TEST_ONLY,
श्वासकास,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0825,"दीपन, श्वासकासघ्न, ज्वरा-अनिल-कफापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
श्वित्र,Shvitra,depigmentation disorder,vitiligo-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0293|BPN_0325|BPN_0385|BPN_0416|BPN_0426|BPN_0428|BPN_0429|BPN_0436|BPN_0458|BPN_0649|BPN_0656,"अश्वगन्धाऽ-अनिल-श्लेष्म-श्वित्र-शोथ-क्षया-पहा, बल्या, रसायनी, अतिशुक्रला || कफघ्नी, वामनी, शोथा-आर्श-श्वित्र-कुष्ठ-हृत्",Clinical confirmation required,PROVISIONAL_TEST_ONLY,
श्वित्रदाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0458,"श्लेष्म-पित्ता-अस्र-मेदः-कुष्ठ-प्रमेहजित्, श्वित्रदाहघ्न, व्रण-पाण्डु-कृमि-प्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
श्वित्रशूल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0436,"कुष्ठ-भूतादिग्रह-व्रण-विष-क्रिमीहर, श्वित्रशूलघ्न",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सद्यःप्राण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1064,सद्यःप्राणविनाशिनी,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सद्यस्तृप्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1091,"त्रिदोषघ्न, रोचन, बलवर्द्धन, वह्निवृद्धिकर, वृष्य, सद्यस्तृप्तिकर, अतीसार-अग्निमान्द्य-ज्वर-जीर्ण-प्रशस्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सन्धान,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0985,"बलकृत्, वात-पित्तापहा, शुक्रदा, सरा, सन्धानकारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सन्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0448|BPN_0950,"कफ-पित्ता-अस्र-कास-हृत्, बृंहण, बलकृत्, सन्धिकृत्, व्रणरोपण || तर्पणी, बल्या, पित्त-अनिलापहा, ग्राहिणी, सन्धिकृत्, रुच्या, खादेन्नातिमात्रया",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सन्धिवात,Sandhivata,degenerative joint disorder,osteoarthritis-like disorder|joint pain,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Requires site and clinical assessment,PROVISIONAL_TEST_ONLY,
सन्निपात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0883,"शुक्र-कफ-प्रद, सन्निपातहर, वेश्मचटकश्चातिशुक्रल",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
समीर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0295|BPN_0569|BPN_0815,"रेचनी, समीरहृत्, पित्त-ज्वर-श्लेष्म-पित्त-शोथो-उदरापहा || स्रंसी, शीतफल, श्लेष्म-समीरघ्न, पित्तल, भेद, गुल्मनुत्, त्रिदोषहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्पदर्प,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0350,"कफनुत्, व्रणशोधिनी, सर्पदर्पहरी, विसर्प-विषहारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्वकण्डू,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0095,"वातला, पित्तहृत्, सर्वकण्डूविनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्वज्वर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0789,"आग्नेय, सर्वज्वरहर, रसायन, बल्य, संग्राहि, दोषत्रयहर, तृषा-दाह-प्रमेह-वाता-असृक्-कामला-कुष्ठ-पाण्डुतापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्वदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0541|BPN_1030,सर्वदोषजित् || सर्वदोषघ्न,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्वरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0671,"आयु-पुष्टि-बल-वीर्य-वर्ण-सौख्यकर, सेवित, सर्वरोगघ्न",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सर्वामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0632,"त्रिदोषघ्न, रसायन, योगवाही, महावृष्य, सदा-दृष्टिबलप्रद, सर्वामयहर, विशेषात्सर्वकुष्ठनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
साद,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0815,"समीरघ्नी, कफ-पित्तकृत्, शुक्रा-अग्नि-सादकृत्, वृष्या, रुचिकृत्, बद्धविड्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सिध्म,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0078,"आमपाचिनी, कफवातजित्, शोथ-श्वास-समीरा-अस्र-वात-शूलो-उदरापह, कास-ज्वर-विषा-अशीति-वातिकामय-सिध्महृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सेवनपुंस्त्व,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0117,"ग्राहि, वातकृत्, कफकासकृत्, धातुशोषक, मदकृत्, वाग्विवर्धन, मुहुर्मोहकर, रुच्य, सेवनपुंस्त्वनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
सौख्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0671,"आयु-पुष्टि-बल-वीर्य-वर्ण-सौख्यकर, सेवित, सर्वरोगघ्न",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
स्थिरता,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1080,"बृंहण, वृष्य, बल्य, चक्षुष्य, स्थिरताकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
स्थौल्य,Sthaulya,obesity / excessive adiposity,obesity,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0022,"त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर",Clinical assessment required,PROVISIONAL_TEST_ONLY,
स्वरवर्ण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0091,"स्वरवर्णकृत्, विष-श्लेष्म-शोथ-योनि -अक्षि-कर्णरुक्-रक्ता-अतीसार-कुष्ठा-अस्र-वीसर्प-व्रण-मेहनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
हिक्का,Hikka,hiccup,hiccups,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0030|BPN_0040|BPN_0086|BPN_0093|BPN_0148|BPN_0164|BPN_0206|BPN_0324|BPN_0572|BPN_0581|BPN_0650|BPN_0734,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || दीपनी, कफवातनुत्, विदाहिनी, हृद्या, वृष्या, बलकरी, नेत्रामय-कृमिच्छर्दि-हिक्का-बस्ति-रुजहर",Classical category,PROVISIONAL_TEST_ONLY,
हृच्छुक्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0722,"सर, स्तन्य-पित्ता-अस्र-मूत्र-वात-विबन्धकृत्, विदाहि, विष-श्लेष्म-शोथ-हृच्छुक्रनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
हृत्कफ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0829,"बलकृत्, हृत्कफनाशिनी, विष्टम्भकारिणी,  तैलतलिताऽतिरुचिप्रदा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
हृदामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0879,"रक्त-पित्तघ्न, हृदामयहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
हृद्बल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1025,"श्रमनाशन, क्लमहर, मूर्च्छा-पिपासापहं, तन्द्रा-च्छर्दि-विबन्ध-हृद्बलकर, निद्राहर, तर्पण, हृद्य, गुप्तरस, अजीर्णशमक, नित्यहित,  स्वच्छ, पीयूषवज्जीवन, रसकारण",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
हृद्रोग,Hridroga,heart-disease group,cardiac disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0073|BPN_0192|BPN_0219|BPN_0322|BPN_0323|BPN_0324|BPN_0437|BPN_0581,"ज्वर-हृद्रोग-पित्त-अस्र-वातोदावर्त्त-शूलनुत्, रुच्य, कुष्ठ-पित्त-कफापह, कोष्ठशुद्धिकर, स्रंसन || हृद्य, रुचिप्रद, आस्यदौर्गन्ध-हृद्रोग-कफ-वाता-आमय-अन्ध्यहृत्",Broad classical category,PROVISIONAL_TEST_ONLY,
